reward,required_spend,duration,offer_type,offer_id,channel_email,channel_mobile,channel_social,channel_web,offer_name
10,10,7,bogo,ae264e3637204a6fb9bb56bc8210ddfd,1,1,1,0,bogo-10spend-10reward-7days
10,10,5,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,1,1,1,1,bogo-10spend-10reward-5days
0,0,4,informational,3f207df678b143eea3cee63160fa8bed,1,1,0,1,informational-0spend-0reward-4days
5,5,7,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,1,0,1,bogo-5spend-5reward-7days
5,20,10,discount,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,0,0,1,discount-20spend-5reward-10days
3,7,7,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1,1,discount-7spend-3reward-7days
2,10,10,discount,fafdcd668e3743c1bb461111dcafc2a4,1,1,1,1,discount-10spend-2reward-10days
0,0,3,informational,5a8bc65990b245e5a138643cd4eb9837,1,1,1,0,informational-0spend-0reward-3days
5,5,5,bogo,f19421c1d4aa40978ebb69ca19b0e20d,1,1,1,1,bogo-5spend-5reward-5days
2,10,7,discount,2906b810c7d4411798c6938adc9daaa5,1,1,0,1,discount-10spend-2reward-7days
